竜王,塩崎,4.1,中央
塩崎,韮崎,4.3,中央
韮崎,新府,4.2,中央
新府,穴山,3.5,中央
穴山,日野春,5.4,中央
日野春,長坂,6.2,中央
長坂,小淵沢,7.4,中央
小淵沢,信濃境,4.5,中央
信濃境,富士見,4.7,中央
富士見,すずらんの里,3.2,中央
すずらんの里,青柳,1.9,中央
青柳,茅野,7.2,中央
茅野,上諏訪,6.7,中央
上諏訪,下諏訪,4.4,中央
下諏訪,岡谷,4.1,中央
岡谷,みどり湖,7.8,中央
みどり湖,塩尻,3.9,中央
岡谷,川岸,3.5,中央
川岸,辰野,6.0,中央
辰野,信濃川島,4.3,中央
信濃川島,(中)小野,4.0,中央
(中)小野,塩尻,9.9,中央
立川,西立川,1.9,青梅
西立川,東中神,0.8,青梅
東中神,中神,0.9,青梅
中神,昭島,1.4,青梅
昭島,拝島,1.9,青梅
拝島,牛浜,1.7,青梅
牛浜,福生,1.0,青梅
福生,羽村,2.1,青梅
羽村,小作,2.4,青梅
小作,河辺,1.8,青梅
河辺,東青梅,1.3,青梅
東青梅,青梅,1.3,青梅
青梅,宮ノ平,2.1,青梅
宮ノ平,日向和田,0.8,青梅
日向和田,石神前,1.0,青梅
石神前,二俣尾,1.2,青梅
二俣尾,軍畑,0.9,青梅
軍畑,沢井,1.4,青梅
沢井,御嶽,1.3,青梅
御嶽,川井,2.8,青梅
川井,古里,1.6,青梅
古里,鳩ノ巣,2.2,青梅
鳩ノ巣,白丸,1.4,青梅
白丸,奥多摩,2.0,青梅
拝島,熊川,1.1,五日市
熊川,東秋留,2.4,五日市
東秋留,秋川,2.2,五日市
秋川,武蔵引田,1.5,五日市
武蔵引田,武蔵増戸,1.3,五日市
武蔵増戸,武蔵五日市,2.6,五日市
八王子,北八王子,3.1,八高
北八王子,小宮,2.0,八高
小宮,拝島,4.8,八高
拝島,東福生,2.8,八高
東福生,箱根ケ崎,3.0,八高
箱根ケ崎,金子,4.8,八高
金子,東飯能,5.1,八高
東飯能,高麗川,5.5,八高
高麗川,毛呂,5.8,八高
毛呂,越生,2.7,八高
越生,明覚,5.2,八高
明覚,小川町,8.0,八高
小川町,竹沢,3.5,八高
竹沢,折原,4.0,八高
折原,寄居,3.6,八高
寄居,用土,4.5,八高
用土,松久,2.7,八高
松久,児玉,4.8,八高
児玉,丹荘,4.1,八高
丹荘,群馬藤岡,4.7,八高
群馬藤岡,北藤岡,3.7,八高
北藤岡,倉賀野,3.6,八高
小淵沢,甲斐小泉,7.1,小海
甲斐小泉,甲斐大泉,5.1,小海
甲斐大泉,清里,5.3,小海
清里,野辺山,5.9,小海
塩尻,広丘,3.8,篠ノ井
広丘,村井,3.0,篠ノ井
村井,平田,2.0,篠ノ井
平田,南松本,2.1,篠ノ井
南松本,松本,2.4,篠ノ井
松本,田沢,8.3,篠ノ井
田沢,明科,6.6,篠ノ井
明科,(篠)西条,9.0,篠ノ井
(篠)西条,坂北,3.7,篠ノ井
坂北,聖高原,4.1,篠ノ井
聖高原,冠着,3.3,篠ノ井
冠着,姨捨,5.9,篠ノ井
姨捨,稲荷山,8.7,篠ノ井
稲荷山,篠ノ井,3.8,篠ノ井
篠ノ井,今井,2.1,信越
今井,川中島,2.2,信越
川中島,安茂里,2.1,信越
安茂里,長野,2.9,信越
東京,神田,1.3,東北
神田,秋葉原,0.7,東北
秋葉原,御徒町,1.0,東北
御徒町,上野,0.6,東北
上野,鶯谷,1.1,東北
鶯谷,日暮里,1.1,東北
日暮里,西日暮里,0.5,東北
西日暮里,田端,0.8,東北
田端,上中里,1.7,東北
上中里,王子,1.1,東北
